file,category,name,name_source,matched_code,matched_class,matched_phrase
10_allpole/140_connectors_plugs/01_connectors_pins/connecteur_f.elmt,10_allpole/140_connectors_plugs/01_connectors_pins,Female connector,en,X,interfacing object,connector
10_allpole/140_connectors_plugs/01_connectors_pins/connecteur_m.elmt,10_allpole/140_connectors_plugs/01_connectors_pins,Male connector,en,X,interfacing object,connector
10_allpole/140_connectors_plugs/01_connectors_pins/connecteur_mf.elmt,10_allpole/140_connectors_plugs/01_connectors_pins,Connector,en,X,interfacing object,connector
10_allpole/140_connectors_plugs/01_connectors_pins/contact_prise_fiche.elmt,10_allpole/140_connectors_plugs/01_connectors_pins,plug male,en,X,interfacing object,plug
10_allpole/140_connectors_plugs/01_connectors_pins/kon10pin_pravy.elmt,10_allpole/140_connectors_plugs/01_connectors_pins,kon10pin pravy,filename,,,
10_allpole/140_connectors_plugs/01_connectors_pins/konektor10pin.elmt,10_allpole/140_connectors_plugs/01_connectors_pins,konektor10pin,filename,,,
10_allpole/140_connectors_plugs/01_connectors_pins/pin_m_fm.elmt,10_allpole/140_connectors_plugs/01_connectors_pins,pin m fm,filename,,,
10_allpole/140_connectors_plugs/01_connectors_pins/prise_fiche.elmt,10_allpole/140_connectors_plugs/01_connectors_pins,Plug and socket,en,X,interfacing object,socket
10_allpole/140_connectors_plugs/01_connectors_pins/prise_multipolaire.elmt,10_allpole/140_connectors_plugs/01_connectors_pins,Plug multipolar,en,X,interfacing object,plug
10_allpole/140_connectors_plugs/01_connectors_pins/vidlice_5p.elmt,10_allpole/140_connectors_plugs/01_connectors_pins,vidlice 5p,filename,,,
10_allpole/140_connectors_plugs/01_connectors_pins/zas_schurter.elmt,10_allpole/140_connectors_plugs/01_connectors_pins,zas schurter,filename,,,
10_allpole/140_connectors_plugs/10_connectors_circular/broche_17.elmt,10_allpole/140_connectors_plugs/10_connectors_circular,Pin 17,en,,,
10_allpole/140_connectors_plugs/10_connectors_circular/connettore_22.elmt,10_allpole/140_connectors_plugs/10_connectors_circular,22 Pin Male Connector,en,X,interfacing object,connector
10_allpole/140_connectors_plugs/10_connectors_circular/embase_din_2_broches_avec_borne_centrale_plate.elmt,10_allpole/140_connectors_plugs/10_connectors_circular,2-pin DIN socket with center pin flat,en,X,interfacing object,socket
10_allpole/140_connectors_plugs/10_connectors_circular/embase_din_3_broches_180_degres.elmt,10_allpole/140_connectors_plugs/10_connectors_circular,3-pin DIN socket 180 degrees,en,X,interfacing object,socket
10_allpole/140_connectors_plugs/10_connectors_circular/embase_din_4_broches.elmt,10_allpole/140_connectors_plugs/10_connectors_circular,4-pin DIN socket,en,X,interfacing object,socket
10_allpole/140_connectors_plugs/10_connectors_circular/embase_din_5_broches.elmt,10_allpole/140_connectors_plugs/10_connectors_circular,5-pin DIN socket,en,X,interfacing object,socket
10_allpole/140_connectors_plugs/10_connectors_circular/embase_din_5_broches_180_degres.elmt,10_allpole/140_connectors_plugs/10_connectors_circular,5-pin DIN socket 180 degrees,en,X,interfacing object,socket
10_allpole/140_connectors_plugs/10_connectors_circular/embase_din_5_broches_270_degres.elmt,10_allpole/140_connectors_plugs/10_connectors_circular,5-pin DIN socket 270 degrees,en,X,interfacing object,socket
10_allpole/140_connectors_plugs/10_connectors_circular/embase_din_5_broches_360_degres_avec_borne_centrale.elmt,10_allpole/140_connectors_plugs/10_connectors_circular,5-pin DIN socket 360 degrees with central terminal,en,X,interfacing object,terminal
10_allpole/140_connectors_plugs/10_connectors_circular/embase_din_8_broches.elmt,10_allpole/140_connectors_plugs/10_connectors_circular,8-pin DIN socket,en,X,interfacing object,socket
10_allpole/140_connectors_plugs/10_connectors_circular/embase_minidin_8_broches.elmt,10_allpole/140_connectors_plugs/10_connectors_circular,Base 8 pin mini-DIN,en,,,
10_allpole/140_connectors_plugs/10_connectors_circular/encoder_17.elmt,10_allpole/140_connectors_plugs/10_connectors_circular,Encoder plug 17 Pin,en,B,sensing object,encoder
10_allpole/140_connectors_plugs/10_connectors_circular/fiche_femelle_codeur_12_points.elmt,10_allpole/140_connectors_plugs/10_connectors_circular,Encoder plug receptacle 12 points,en,B,sensing object,encoder
10_allpole/140_connectors_plugs/15_connectors_dsub/sub-d-20-femelle.elmt,10_allpole/140_connectors_plugs/15_connectors_dsub,D-SUB HD 20 pin (female),en,,,
10_allpole/140_connectors_plugs/15_connectors_dsub/sub-d-20-male.elmt,10_allpole/140_connectors_plugs/15_connectors_dsub,D-SUB HD 20 pin (male),en,,,
10_allpole/140_connectors_plugs/15_connectors_dsub/sub-d-hd_15_broches_femelle.elmt,10_allpole/140_connectors_plugs/15_connectors_dsub,D-SUB HD 15 pin (female),en,,,
10_allpole/140_connectors_plugs/15_connectors_dsub/sub-d-hd_15_broches_male.elmt,10_allpole/140_connectors_plugs/15_connectors_dsub,D-SUB HD 15 pin (male),en,,,
10_allpole/140_connectors_plugs/15_connectors_dsub/sub-d_15_broches_femelle.elmt,10_allpole/140_connectors_plugs/15_connectors_dsub,D-SUB  15 pin (female),en,,,
10_allpole/140_connectors_plugs/15_connectors_dsub/sub-d_15_broches_male.elmt,10_allpole/140_connectors_plugs/15_connectors_dsub,D-SUB 15 pin (male),en,,,
10_allpole/140_connectors_plugs/15_connectors_dsub/sub-d_25_broches_femelle.elmt,10_allpole/140_connectors_plugs/15_connectors_dsub,D-SUB 25 pin (female),en,,,
10_allpole/140_connectors_plugs/15_connectors_dsub/sub-d_25_broches_male.elmt,10_allpole/140_connectors_plugs/15_connectors_dsub,D-SUB 25 pin (male),en,,,
10_allpole/140_connectors_plugs/15_connectors_dsub/sub-d_9_broches_femelle.elmt,10_allpole/140_connectors_plugs/15_connectors_dsub,D-SUB  9 pin (female),en,,,
10_allpole/140_connectors_plugs/15_connectors_dsub/sub-d_9_broches_male.elmt,10_allpole/140_connectors_plugs/15_connectors_dsub,D-SUB  9 pin (male),en,,,
10_allpole/140_connectors_plugs/20_socket_outlets/bloc_3pc_230v16a.elmt,10_allpole/140_connectors_plugs/20_socket_outlets,Plugs 3 PC 2P+T 230v 16A,en,X,interfacing object,plug
10_allpole/140_connectors_plugs/20_socket_outlets/pc16pnt.elmt,10_allpole/140_connectors_plugs/20_socket_outlets,Outlet 3 poles,en,,,
10_allpole/140_connectors_plugs/20_socket_outlets/pc_2p_t.elmt,10_allpole/140_connectors_plugs/20_socket_outlets,PC 2P+T,en,,,
